,POLICY_BEGIN_MONTH,POLICY_END_MONTH,POLICY_SALES_CHANNEL,POLICY_SALES_CHANNEL_GROUP,POLICY_BRANCH,POLICY_MIN_AGE,POLICY_MIN_DRIVING_EXPERIENCE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_ENGINE_POWER,VEHICLE_IN_CREDIT,VEHICLE_SUM_INSURED,POLICY_INTERMEDIARY,INSURER_GENDER,POLICY_CLM_N,POLICY_CLM_GLT_N,POLICY_PRV_CLM_N,POLICY_PRV_CLM_GLT_N,CLIENT_HAS_DAGO,CLIENT_HAS_OSAGO,POLICY_COURT_SIGN,CLAIM_AVG_ACC_ST_PRD,POLICY_HAS_COMPLAINTS,POLICY_YEARS_RENEWED_N,POLICY_DEDUCT_VALUE,CLIENT_REGISTRATION_REGION,POLICY_PRICE_CHANGE
132,3,3,52,6,Санкт-Петербург,67,29,Renault,Sandero,82.0,0,604000.0,1096,M,0,0,N,N,0,1,0,0.0,0,0,0.0,Санкт-Петербург,-0.71
133,3,3,50,5,Москва,53,18,Toyota,RAV4,148.0,0,1000000.0,N,F,0,0,1L,0,1,1,0,0.0,0,3,0.0,Москва,0.15
137,3,3,52,6,Москва,53,30,Toyota,Corolla,124.0,0,540000.0,N,M,0,0,0,0,0,1,0,0.0,0,5,0.0,Московская,-0.1
138,4,4,50,5,Санкт-Петербург,30,11,Volkswagen,Tiguan,170.0,0,722900.0,N,M,0,0,0,0,0,1,0,0.0,0,2,15000.0,Санкт-Петербург,0.21
146,3,3,52,6,Москва,63,18,Toyota,Другая модель (Легковое ТС),146.0,0,1476000.0,910,M,0,0,N,N,0,1,0,0.0,0,0,0.0,Москва,-0.59
149,4,4,53,6,Москва,52,17,Toyota,RAV4,180.0,0,1861000.0,272,M,0,0,N,N,1,1,0,0.0,0,0,0.0,Московская,0.04
150,3,3,53,6,Москва,45,12,Nissan,Qashqai,144.0,1,1256000.0,586,F,0,0,N,N,0,0,0,0.0,0,0,0.0,Москва,-0.37
152,3,3,52,6,Москва,31,12,Ford,Focus,125.0,0,512190.0,781,M,0,0,0,0,1,1,0,0.0,0,3,0.0,Московская,0.05
154,3,3,6,4,Санкт-Петербург,37,10,УАЗ,3163 Patriot,128.0,0,432962.0,34,F,0,0,1S,0,0,0,0,0.0,0,5,10000.0,Санкт-Петербург,-1.0
158,3,3,53,6,Москва,40,14,Nissan,Qashqai,116.0,0,1166000.0,586,M,0,0,N,N,1,1,0,0.0,0,0,0.0,Москва,-0.19
159,3,3,54,6,Москва,55,21,Ford,Explorer,294.0,0,1450000.0,344,M,0,0,N,N,0,0,0,0.0,0,0,0.0,Москва,0.04
160,3,3,53,6,Москва,29,4,Hyundai,ix35,150.0,1,828703.0,N,F,0,0,1L,0,0,1,0,0.0,0,4,0.0,Москва,-0.5
162,3,3,59,3,Санкт-Петербург,42,16,Volvo,XC60,181.0,0,2475000.0,454,F,1S,1S,N,N,0,0,0,4.0,0,0,0.0,Санкт-Петербург,-0.15
163,2,2,50,5,Санкт-Петербург,32,11,Renault,Logan,84.0,0,311800.0,N,M,0,0,0,0,1,0,0,0.0,0,3,25000.0,Санкт-Петербург,0.3
165,2,2,52,6,Санкт-Петербург,48,27,Subaru,Forester,171.0,0,726887.0,N,F,0,0,0,0,0,1,0,0.0,0,4,25000.0,Санкт-Петербург,-0.29
167,4,4,53,6,Санкт-Петербург,42,19,Nissan,Qashqai,141.0,0,617890.0,343,F,0,0,0,0,0,1,0,0.0,0,3,10000.0,Санкт-Петербург,-0.28
168,4,4,53,6,Москва,41,17,Renault,Duster,135.0,1,534994.0,528,M,0,0,0,0,0,1,0,0.0,0,2,0.0,Москва,-0.29
171,3,3,11,1,Санкт-Петербург,31,13,Volkswagen,Tiguan,140.0,0,1013126.0,155,M,0,0,0,0,0,1,0,0.0,0,2,12500.0,Санкт-Петербург,0.04
181,10,9,59,3,Санкт-Петербург,31,13,Mazda,6,147.0,0,504000.0,565,M,0,0,0,0,0,1,0,0.0,0,1,30000.0,Санкт-Петербург,0.0
187,4,4,53,6,Санкт-Петербург,45,25,Skoda,Rapid,122.0,1,801500.0,519,M,0,0,N,N,0,0,0,0.0,0,0,30000.0,Санкт-Петербург,-0.33
188,4,4,53,6,Санкт-Петербург,31,10,Nissan,X-Trail,141.0,0,854280.0,1316,F,2,2,1S,1S,1,1,0,13.0,0,3,0.0,Санкт-Петербург,0.05
189,3,3,10,1,Москва,25,7,Kia,Rio,95.0,0,361000.0,1063,M,1L,1L,0,0,0,1,0,0.0,0,4,15000.0,Москва,0.39
192,8,8,53,6,Москва,47,29,Kia,Ceed,129.0,1,515710.0,1221,F,0,0,0,0,0,0,0,0.0,0,2,0.0,Москва,0.05
193,7,1,53,6,Москва,51,22,Renault,Duster,102.0,0,382965.0,528,F,0,0,0,0,0,1,0,0.0,0,3,10000.0,Москва,0.03
195,8,8,52,6,Санкт-Петербург,33,0,Opel,Mokka,140.0,0,810000.0,230,F,0,0,N,N,1,0,0,0.0,0,0,15000.0,Санкт-Петербург,0.04
214,5,5,52,6,Санкт-Петербург,46,16,Land Rover,Range Rover Sport,292.0,0,3223112.0,1096,F,2,2,2,2,0,1,0,0.0,0,1,0.0,Санкт-Петербург,1.6
217,4,4,53,6,Санкт-Петербург,49,6,Volkswagen,Golf,80.0,1,440000.0,804,F,0,0,1L,0,1,1,0,0.0,0,3,0.0,Санкт-Петербург,0.05
227,8,8,52,6,Москва,31,0,Kia,Ceed,129.0,0,848700.0,910,F,0,0,0,0,1,0,0,0.0,0,1,20000.0,Новгородская,-0.35
229,8,8,55,6,Москва,37,13,Toyota,Другая модель (Легковое ТС),146.0,0,1282000.0,1096,F,1S,1S,N,N,1,1,0,0.0,0,0,0.0,Москва,0.0
235,8,8,52,6,Санкт-Петербург,37,17,Renault,Scenic,113.0,0,455531.0,1096,F,1S,1S,0,0,0,0,0,11.0,0,5,0.0,Санкт-Петербург,0.05
243,8,8,55,6,Москва,53,0,Mitsubishi,Outlander,167.0,0,1578890.0,1096,M,1L,1L,N,N,0,1,0,0.0,0,0,0.0,Москва,0.0
252,5,5,53,6,Москва,56,30,Land Rover,Range Rover,340.0,1,4528630.0,287,M,0,0,0,0,0,0,0,0.0,0,1,0.0,Москва,-0.08
262,5,5,53,6,Санкт-Петербург,51,7,Skoda,Fabia,105.0,1,542430.0,224,F,0,0,1S,1S,0,0,0,0.0,0,1,0.0,Санкт-Петербург,-0.22
264,5,5,55,6,Москва,53,34,Ford,Focus,125.0,1,498355.0,1096,M,0,0,3,2,0,1,0,0.0,0,2,10000.0,Московская,0.0
267,8,8,52,6,Москва,50,21,Toyota,RAV4,150.0,1,1268253.0,326,M,0,0,0,0,0,0,0,0.0,0,1,0.0,Москва,0.0
272,5,5,16,1,Москва,47,16,Toyota,Land Cruiser Prado,173.0,0,1695260.0,1074,M,0,0,0,0,1,0,0,0.0,0,1,50000.0,Москва,0.05
283,6,6,52,6,Москва,33,11,Honda,CR-V,150.0,0,1153740.0,1142,F,2,2,0,0,0,0,0,2.0,0,1,0.0,Московская,-0.34
285,6,6,55,6,Москва,54,18,Hyundai,Solaris,123.0,1,504013.0,1096,F,1S,1S,2,2,0,0,0,0.0,0,1,0.0,Москва,0.26
304,6,6,52,6,Санкт-Петербург,36,13,Volkswagen,Tiguan,150.0,1,1000000.0,7,M,0,0,N,N,0,0,0,0.0,0,0,15000.0,Санкт-Петербург,-0.13
306,4,4,54,6,Москва,35,11,BMW,5-series,184.0,1,2130000.0,703,M,0,0,N,N,0,0,0,0.0,0,0,0.0,Московская,-0.84
308,3,3,54,6,Москва,42,17,BMW,X6,306.0,0,5250000.0,703,M,0,0,N,N,0,0,0,0.0,0,0,0.0,Москва,-0.08
309,6,6,1,4,Москва,42,17,Land Rover,Range Rover,510.0,0,3800000.0,33,F,0,0,N,N,0,0,0,0.0,0,0,75000.0,Москва,0.0
312,7,7,53,6,Санкт-Петербург,78,47,Renault,Logan,75.0,0,216223.0,1276,M,0,0,0,0,0,0,0,0.0,0,3,0.0,Санкт-Петербург,0.05
317,6,6,53,6,Москва,43,18,Renault,Fluence,138.0,0,657579.0,528,M,0,0,0,0,0,0,0,0.0,0,2,0.0,Москва,-0.24
322,7,7,10,1,Санкт-Петербург,46,11,Ford,Fiesta,101.0,0,272646.0,1151,F,0,0,3,3,1,0,0,38.0,0,5,10000.0,Санкт-Петербург,0.05
326,4,4,50,5,Санкт-Петербург,32,10,Skoda,Yeti,152.0,0,900000.0,N,M,0,0,N,N,0,0,0,0.0,0,0,20000.0,Санкт-Петербург,-0.14
328,4,4,52,6,Санкт-Петербург,54,23,Volkswagen,Touareg,204.0,1,2070500.0,516,M,0,0,0,0,0,0,0,0.0,0,1,0.0,Санкт-Петербург,0.1
340,7,7,52,6,Санкт-Петербург,47,14,Toyota,Camry,181.0,0,853337.0,1253,M,0,0,0,0,0,1,0,0.0,0,2,0.0,Санкт-Петербург,0.05
343,7,7,53,6,Санкт-Петербург,37,14,Skoda,Yeti,122.0,1,695360.0,110,F,2,2,2,1S,1,1,0,0.0,0,1,0.0,Санкт-Петербург,0.0
344,7,7,53,6,Санкт-Петербург,53,32,Skoda,Yeti,152.0,1,828200.0,N,M,0,0,0,0,0,1,0,0.0,0,1,0.0,Санкт-Петербург,0.0
353,5,5,50,5,Москва,25,6,Hyundai,ix35,150.0,0,771340.0,N,F,2,2,0,0,1,1,0,13.0,0,4,0.0,Москва,0.8
354,4,4,3,4,Санкт-Петербург,63,33,Toyota,RAV4,158.0,0,810000.0,56,M,2,2,0,0,0,1,0,0.0,0,4,0.0,Санкт-Петербург,-1.0
356,5,5,53,6,Санкт-Петербург,33,8,BMW,1-series,170.0,1,770950.0,1287,F,0,0,0,0,0,0,0,0.0,0,1,30000.0,Санкт-Петербург,-0.23
359,4,4,52,6,Санкт-Петербург,60,39,Toyota,Camry,181.0,0,841500.0,1253,M,0,0,0,0,0,1,0,0.0,0,2,0.0,Санкт-Петербург,0.05
364,4,4,54,6,Москва,52,18,Volkswagen,Polo,105.0,1,659900.0,352,F,0,0,N,N,0,0,0,0.0,0,0,15000.0,Москва,-0.28
366,5,5,50,5,Москва,46,14,Nissan,Qashqai,141.0,0,510000.0,N,F,0,0,0,0,1,1,0,0.0,0,3,0.0,Москва,-0.27
368,4,4,50,5,Санкт-Петербург,28,3,Peugeot,207,88.0,0,285300.0,N,M,1S,1S,0,0,1,1,0,36.0,0,2,10000.0,Ленинградская,0.05
369,5,5,52,6,Санкт-Петербург,52,16,Volkswagen,Tiguan,170.0,1,843111.0,330,M,0,0,1S,1S,0,1,0,0.0,0,2,0.0,Санкт-Петербург,-0.13
382,5,5,63,2,Москва,43,19,Hyundai,H-1,170.0,0,841995.0,N,F,0,0,0,0,1,0,0,0.0,0,3,10000.0,Московская,-0.12
383,4,4,6,4,Санкт-Петербург,43,13,Skoda,Rapid,75.0,0,484200.0,1365,F,2,2,N,N,0,1,0,53.0,0,0,0.0,Санкт-Петербург,-0.67
387,8,8,53,6,Санкт-Петербург,43,16,Nissan,Juke,117.0,1,549085.0,343,F,0,0,1S,1S,0,0,0,0.0,0,3,0.0,Санкт-Петербург,0.05
388,8,8,54,6,Москва,39,0,Honda,CR-V,150.0,1,1863641.0,2,M,0,0,N,N,0,1,0,0.0,0,0,0.0,Москва,-0.22
393,8,8,39,1,Москва,40,9,Mercedes-Benz,C,204.0,0,986863.0,834,M,0,0,N,N,1,0,0,0.0,0,0,10000.0,Москва,0.0
394,8,8,52,6,Санкт-Петербург,30,0,Kia,Cerato,130.0,1,807900.0,509,M,0,0,N,N,0,1,0,0.0,0,0,15000.0,Ленинградская,-0.19
415,6,6,4,4,Санкт-Петербург,47,14,Nissan,Note,110.0,0,551603.0,53,F,0,0,0,0,0,1,0,0.0,0,3,7500.0,Санкт-Петербург,-0.07
416,6,6,53,6,Санкт-Петербург,54,19,Nissan,Juke,117.0,1,612401.0,343,M,0,0,0,0,0,1,0,0.0,0,2,0.0,Санкт-Петербург,-0.22
441,7,7,50,5,Москва,32,12,Honda,Civic,140.0,0,425000.0,N,M,0,0,0,0,0,0,0,0.0,0,4,20000.0,Москва,0.05
442,9,9,50,5,Москва,32,13,Ford,Mondeo,161.0,0,812700.0,N,M,0,0,2,2,1,1,0,0.0,0,2,10000.0,Москва,0.0
443,6,6,13,1,Санкт-Петербург,35,12,Hyundai,Solaris,123.0,1,500000.0,1224,M,3,3,0,0,0,1,0,1.0,0,2,0.0,Санкт-Петербург,-0.23
444,6,6,52,6,Санкт-Петербург,39,6,Toyota,Camry,181.0,1,966669.0,1253,M,0,0,1S,0,0,1,0,0.0,0,2,0.0,Санкт-Петербург,0.15
447,7,7,52,6,Москва,51,24,Kia,Sportage,150.0,0,780595.0,910,F,0,0,1S,1S,0,1,0,0.0,0,3,0.0,Москва,0.05
452,7,7,52,6,Москва,35,8,Volkswagen,Tiguan,140.0,0,697691.0,N,M,0,0,1S,1S,0,1,0,0.0,0,5,20000.0,Московская,0.0
453,8,8,55,6,Москва,35,11,Suzuki,Grand Vitara,169.0,1,794430.0,1252,F,1S,1S,1S,1S,0,1,0,1.0,0,3,0.0,Москва,0.05
454,6,6,52,6,Санкт-Петербург,34,13,Honda,CR-V,150.0,0,1100000.0,1370,M,1L,0,0,0,0,0,0,2.0,0,1,0.0,Санкт-Петербург,-1.0
457,7,7,53,6,Москва,51,4,Kia,Venga,125.0,1,582200.0,1221,M,1S,1S,0,0,0,0,0,21.0,0,1,10000.0,Москва,0.05
458,7,7,60,3,Москва,38,20,Volkswagen,Passat,211.0,0,1581000.0,67,M,0,0,0,0,0,0,0,0.0,0,1,0.0,Московская,-0.05
459,6,6,53,6,Санкт-Петербург,38,19,Audi,Q5,211.0,1,1449000.0,1241,M,1L,1L,0,0,0,1,0,6.0,0,3,0.0,Санкт-Петербург,0.05
464,8,8,53,6,Санкт-Петербург,40,14,Hyundai,Santa Fe,197.0,0,1600000.0,1200,M,0,0,N,N,1,0,0,0.0,0,0,0.0,Санкт-Петербург,0.01
465,7,7,52,6,Санкт-Петербург,49,17,Skoda,Rapid,105.0,0,521520.0,330,M,1S,1S,0,0,0,1,0,2.0,0,1,0.0,Санкт-Петербург,0.1
467,4,4,53,6,Санкт-Петербург,39,19,Volkswagen,Passat,152.0,0,820000.0,224,M,0,0,1S,1S,0,0,0,0.0,0,2,0.0,Санкт-Петербург,-0.69
493,9,9,53,6,Санкт-Петербург,40,9,Ford,S-Max,160.0,0,800000.0,1214,F,0,0,N,N,0,0,0,0.0,0,0,20000.0,Санкт-Петербург,-0.03
497,11,11,55,6,Москва,43,22,Mitsubishi,Pajero,200.0,0,1823589.0,1096,F,0,0,1S,1S,0,0,0,0.0,0,1,0.0,Москва,0.05
498,4,4,59,3,Санкт-Петербург,40,18,BMW,X3,184.0,0,1700000.0,437,M,0,0,N,N,0,0,0,0.0,0,0,15000.0,Санкт-Петербург,-0.33
499,4,4,55,6,Москва,54,16,Hyundai,i30,130.0,1,596673.0,1252,M,0,0,0,0,0,1,0,0.0,0,2,0.0,Московская,-0.49
505,4,4,50,5,Санкт-Петербург,27,0,BMW,1-series,136.0,0,850000.0,N,M,0,0,N,N,0,0,0,0.0,0,0,30000.0,Ленинградская,-0.44
506,4,4,50,5,Москва,45,9,Mercedes-Benz,E,184.0,0,1300000.0,N,M,0,0,N,N,0,0,0,0.0,0,0,0.0,Московская,-0.29
509,5,5,10,1,Санкт-Петербург,26,7,Ford,Kuga,199.0,0,954261.0,976,F,0,0,0,0,0,0,0,0.0,0,4,0.0,Санкт-Петербург,0.0
514,4,4,50,5,Москва,40,8,Opel,Corsa,101.0,1,415550.0,N,F,0,0,N,N,1,1,0,0.0,0,0,0.0,Москва,-0.56
515,12,12,28,1,Москва,52,10,Land Rover,Freelander,149.0,0,1270000.0,732,M,3,2,N,N,0,0,0,8.0,0,0,0.0,Московская,0.05
519,5,5,59,3,Санкт-Петербург,41,22,Fiat,Doblo,78.0,1,376000.0,454,M,1S,1S,0,0,0,1,0,10.0,0,3,0.0,Санкт-Петербург,0.05
521,12,12,39,1,Санкт-Петербург,45,14,Ssang Yong,Kyron,138.0,0,1030000.0,348,M,0,0,N,N,0,1,0,0.0,0,0,10000.0,Санкт-Петербург,-0.48
526,9,9,52,6,Санкт-Петербург,66,33,Toyota,RAV4,148.0,0,1065000.0,1188,M,2,2,3,3,1,1,0,0.0,0,2,0.0,Санкт-Петербург,1.41
527,9,9,52,6,Санкт-Петербург,41,20,Renault,Duster,102.0,1,512746.0,1096,M,0,0,0,0,0,1,0,0.0,0,1,0.0,N,0.0
533,5,5,52,6,Санкт-Петербург,53,17,Ford,Fiesta,100.0,0,402487.0,1096,F,0,0,2,2,0,1,0,0.0,0,4,12500.0,Санкт-Петербург,-0.35
537,9,9,52,6,Санкт-Петербург,27,8,Renault,SR,84.0,0,285675.0,1096,M,1S,1S,0,0,1,1,0,0.0,0,4,0.0,Санкт-Петербург,0.0
548,11,11,53,6,Санкт-Петербург,66,40,Hyundai,Santa Fe,197.0,0,1400000.0,485,M,0,0,N,N,0,0,0,0.0,0,0,0.0,Ленинградская,0.04
552,8,8,55,6,Москва,50,0,Hyundai,Santa Fe,190.0,1,1834000.0,1252,M,1L,1L,N,N,0,1,0,6.0,0,0,0.0,Краснодарский,0.0
554,8,8,54,6,Москва,34,11,Land Rover,Range Rover,339.0,0,4383638.0,1253,M,0,0,0,0,0,0,0,0.0,0,1,0.0,Москва,0.02
560,6,6,52,6,Санкт-Петербург,28,10,Toyota,Highlander,249.0,1,1714620.0,230,F,0,0,0,0,0,0,0,0.0,0,1,0.0,Санкт-Петербург,-0.42
564,3,3,1,4,Санкт-Петербург,52,5,Chevrolet,Lacetti,95.0,0,283000.0,57,M,0,0,0,0,1,1,0,0.0,0,1,10000.0,Санкт-Петербург,-0.03
577,5,5,53,6,Санкт-Петербург,51,33,Kia,Ceed,125.0,1,462250.0,924,M,0,0,0,0,0,0,0,0.0,0,3,0.0,Санкт-Петербург,0.05
578,3,3,59,3,Санкт-Петербург,62,18,Mitsubishi,L 200,136.0,0,765000.0,1219,F,0,0,0,0,0,0,0,0.0,0,1,25000.0,Санкт-Петербург,0.04
581,8,8,50,5,Москва,49,14,Mazda,6,120.0,0,556000.0,N,F,0,0,0,0,0,1,0,0.0,0,3,0.0,Московская,0.05
583,10,10,55,6,Москва,44,16,Suzuki,SX4,117.0,1,863900.0,1252,F,1L,1L,N,N,0,0,0,10.0,0,0,0.0,Москва,0.05
589,5,5,53,6,Москва,34,9,Nissan,Qashqai,117.0,1,603775.0,N,M,0,0,0,0,0,0,0,0.0,0,3,15000.0,Московская,-0.59
593,3,3,50,5,Москва,48,29,Mitsubishi,Outlander XL,170.0,0,765400.0,N,M,0,0,0,0,1,1,0,0.0,0,3,7500.0,Москва,-0.36
597,3,3,45,1,Санкт-Петербург,64,7,Ford,Fusion,100.0,0,497000.0,149,F,0,0,0,0,1,1,0,0.0,0,3,10000.0,Санкт-Петербург,0.05
610,10,10,54,6,Москва,34,13,Honda,CR-V,166.0,0,580446.0,N,M,0,0,1L,1L,0,1,0,0.0,0,6,20000.0,Москва,-0.02
617,10,10,55,6,Москва,31,10,Toyota,Другая модель (Легковое ТС),146.0,0,1034020.0,1096,F,0,0,0,0,1,1,0,0.0,0,1,0.0,Москва,0.01
619,4,4,52,6,Москва,50,13,Mazda,5,144.0,0,648305.0,910,M,0,0,1S,1S,0,1,0,0.0,0,4,0.0,Москва,0.01
635,3,3,55,6,Москва,50,16,Skoda,Yeti,152.0,0,774524.0,1096,M,2,1L,0,0,0,1,0,10.0,0,3,0.0,Москва,0.42
653,4,4,54,6,Москва,44,16,Chevrolet,Другая модель (Легковое ТС),136.0,0,576420.0,N,M,0,0,0,0,0,1,0,0.0,0,7,0.0,Москва,-0.3
654,4,4,52,6,Москва,48,7,Kia,Soul,129.0,0,456611.0,N,M,2,2,1S,1S,0,1,0,40.5,0,3,5000.0,Москва,0.18
660,9,9,52,6,Санкт-Петербург,40,9,Honda,CR-V,190.0,1,1370000.0,1370,M,0,0,N,N,0,0,0,0.0,0,0,0.0,Ленинградская,-1.0
662,11,11,53,6,Москва,33,0,Renault,Sandero Stepway,84.0,1,508156.0,528,F,1L,1L,N,N,0,1,0,22.0,0,0,0.0,Саратовская,0.1
671,11,11,53,6,Москва,35,6,Suzuki,SX4,107.0,0,317915.0,N,F,0,0,0,0,1,1,0,0.0,0,6,30000.0,Москва,0.07
675,9,9,53,6,Санкт-Петербург,44,25,Hyundai,Solaris,123.0,1,619900.0,1200,M,0,0,N,N,1,0,0,0.0,0,0,10000.0,Псковская,0.0
685,12,12,53,6,Санкт-Петербург,54,34,Ford,Kuga,182.0,1,1162000.0,N,M,0,0,0,0,0,0,0,10.0,0,1,0.0,Санкт-Петербург,0.12
686,12,12,52,6,Санкт-Петербург,57,12,Renault,Fluence,106.0,1,394920.0,171,F,0,0,0,0,0,0,0,0.0,0,2,0.0,Санкт-Петербург,-0.15
699,9,9,59,3,Санкт-Петербург,41,21,Toyota,RAV4,170.0,0,700172.0,454,M,0,0,N,N,0,1,0,0.0,0,0,0.0,Санкт-Петербург,3.36
700,9,9,50,5,Санкт-Петербург,29,3,Ford,Focus,150.0,1,805000.0,N,M,0,0,N,N,1,1,0,0.0,0,0,0.0,Санкт-Петербург,-0.22
702,11,11,55,6,Москва,53,25,Suzuki,Grand Vitara,169.0,0,1176900.0,1252,M,0,0,N,N,1,0,0,0.0,0,0,0.0,Москва,0.04
703,4,4,52,6,Москва,35,15,Land Rover,Range Rover Sport,510.0,0,6745900.0,1051,M,0,0,N,N,0,0,0,0.0,0,0,0.0,Москва,-0.25
707,4,4,11,1,Санкт-Петербург,28,10,Land Rover,Range Rover Evoque,190.0,1,1428000.0,143,M,2,2,1S,1S,1,1,0,2.0,0,1,0.0,Санкт-Петербург,1.88
708,10,10,53,6,Санкт-Петербург,52,18,Hyundai,Solaris,123.0,1,551800.0,485,F,0,0,N,N,0,1,0,0.0,0,0,0.0,Санкт-Петербург,0.0
710,12,12,52,6,Москва,27,8,Skoda,Superb,152.0,0,1211599.0,326,M,1S,1S,1S,0,1,1,0,0.0,0,1,0.0,Калининградская,0.05
733,4,4,52,6,Москва,59,20,Subaru,Impreza XV,150.0,0,698874.0,205,M,0,0,0,0,0,0,0,0.0,0,3,0.0,Москва,0.19
735,12,12,50,5,Москва,59,32,Audi,A3,125.0,0,999987.0,N,M,0,0,N,N,0,1,0,0.0,0,0,0.0,Москва,0.05
